student_number,student_id,first_name,last_name,dat_of_birth,address_id
95,78936229,Lawrence,Simonis,Jul 8th 86,95
96,15128206,Ellis,Steuber,Dec 6th 96,96
97,31448068,Elsie,Bergstrom,Jul 11th 03,97
98,56143042,Paula,Brown,Feb 14th 85,98
99,26399357,Mable,Romaguera,Nov 3rd 91,99
100,71504395,Courtney,Jacobs,Oct 19th 06,100
101,12590341,Earl,Smith-Turner,Oct 12th 94,101
102,49807326,Rolando,Haag,Dec 26th 96,102
103,70844889,Gail,Hermann,Jul 30th 85,103
104,43579484,Marco,Kozey,Jun 17th 97,104
105,58559749,Timmy,Schroeder,Jan 15th 01,105
106,5155181,Casey,Franey,Oct 21st 01,106
107,83797862,Eric,Koepp,Jun 22nd 84,107
108,14723756,Margaret,Padberg,Feb 7th 92,108
109,91539151,Omar,Stanton,Oct 7th 84,109
110,3222925,Ivan,Glover,Jan 10th 84,110
111,74360029,Sonya,Ortiz,Jan 23rd 89,111
112,60246721,Pablo,Witting,Sep 12th 95,112
113,38644083,Laura,Hane,Oct 12th 86,113
114,43788671,Curtis,Lueilwitz,Feb 27th 98,114
115,93490182,Bert,Armstrong,Feb 1st 02,115
116,31645432,Arnold,Considine-Kreiger,Mar 26th 97,116
117,60710444,Reginald,Rau,Oct 19th 94,117
118,9032521,Vivian,Altenwerth,Aug 21st 99,118
119,94506003,Tammy,Dietrich,Apr 15th 87,119
120,58969462,Shawna,Adams,Apr 24th 94,120
121,90735884,Toby,Hodkiewicz,May 22nd 88,121
122,26874880,Eileen,Stroman,Aug 13th 86,122
123,10207411,Ed,Shields-Denesik,Mar 20th 89,123
124,71719469,Jonathon,Swift,Jul 2nd 00,124
125,37251660,Violet,Nolan,Nov 29th 91,125
126,20137478,Shawn,Pouros,Mar 16th 03,126
127,48701257,Eva,Zulauf,Aug 17th 91,127
128,2549587,Joseph,Fahey,Dec 10th 89,128
129,33827207,Kellie,Erdman,Dec 7th 06,129
130,3149072,Lance,Pfeffer,Mar 11th 88,130
131,93989267,Jenna,Conroy,Jun 30th 87,131
132,24822390,Marcia,Crona,Aug 20th 02,132
133,41313959,Levi,Jacobs,Feb 7th 89,133
134,69238676,Jo,Casper,Oct 29th 05,134
135,91018222,Monica,Erdman,Aug 4th 00,135
136,66498352,Genevieve,Bartell,Sep 26th 97,136
137,18548133,Brandy,Parker,Jan 7th 05,137
138,66410928,Carolyn,Senger,Jan 12th 88,138
139,65924737,Ben,Zemlak,Jul 31st 85,139
140,60132196,Noah,Blanda,Dec 26th 93,140
141,93421866,Clint,Metz,Dec 2nd 04,141
142,67720888,Peter,Kohler,Aug 4th 00,142
143,10550010,Rochelle,Little,Sep 23rd 99,143
144,86096074,Allison,Bogan,May 19th 06,144
145,21498922,Rita,Pagac,Aug 14th 89,145
146,28385476,Spencer,Monahan-Kuhlman,May 19th 05,146
147,6591191,Juana,Cummings,Mar 6th 84,147
148,17859733,Joy,Moore,Apr 28th 05,148
149,43714984,Ignacio,Hayes,Jan 14th 04,149
150,6791403,Dennis,Goldner,Feb 26th 92,150
151,43219059,Jodi,Dietrich,Jul 1st 04,151
152,69908636,Robyn,Torp,Dec 20th 89,152
153,19659341,Sylvia,Spinka,Dec 5th 92,153
154,65820009,Teri,D'Amore,Sep 30th 91,154
155,21693592,Milton,Emard,Oct 30th 00,155
156,94640707,Sam,Morissette,Apr 12th 05,156
157,26468968,Jerald,Jaskolski-Boehm,Jul 11th 02,157
158,36450421,Isaac,Kuhn,Jan 11th 06,158
159,4861507,Micheal,Monahan,Mar 16th 05,159
160,1382548,Carlos,Schumm,Jul 1st 04,160
161,95374676,Brad,Robel,May 13th 96,161
162,20056078,Philip,Bashirian,Feb 24th 84,162
163,45733509,Alan,Cummerata,Feb 28th 85,163
164,15831888,Geraldine,Kilback,Jul 22nd 04,164
165,6376961,Marty,Halvorson,Dec 4th 98,165
166,53846003,Gretchen,Kunze,Oct 1st 92,166
167,77597476,Maryann,Streich,Jan 4th 89,167
168,60929142,Don,Marquardt,Mar 6th 92,168
169,60265166,Bert,Muller,Aug 7th 90,169
170,21971510,Linda,Huel,Jan 19th 01,170
171,39352880,Antonio,Reilly,Jun 2nd 99,171
172,42975745,Cecelia,Buckridge,Feb 25th 99,172
173,80708142,Rita,Crist,May 1st 95,173
174,62645342,Andrew,Haag,Feb 26th 85,174
175,48705094,Marlon,Beier,Feb 24th 04,175
176,86345129,Percy,Jaskolski,Sep 9th 03,176
177,69617208,Tracy,Schneider,Feb 25th 98,177
178,57648315,Holly,Davis,Aug 30th 99,178
179,24265050,Oscar,Ryan,Oct 5th 96,179
180,5913834,Rudolph,Heathcote,Nov 17th 06,180
181,45652637,Beverly,Rice,Oct 15th 86,181
182,56925129,Allan,Sauer,Oct 22nd 96,182
183,58611598,Harriet,Goyette,Jan 9th 06,183
184,25813353,Viola,Huel,May 16th 86,184
185,59515796,Ralph,Williamson,Mar 29th 01,185
186,19317099,Ron,Leuschke,Dec 20th 95,186
187,46077888,Emma,Balistreri,Apr 23rd 06,187
188,80909182,Scott,Hand,Mar 21st 93,188
189,22104387,Winston,Schulist,Jan 17th 01,189
190,61818930,Wilfred,Jerde,Dec 5th 04,190
191,23934273,Jean,Cronin,Jul 7th 84,191
192,54123293,Gayle,Pfeffer,Aug 10th 89,192
193,61057975,Bonnie,Littel,Jul 22nd 94,193
194,1904519,Loretta,Swift,Jun 12th 85,194
195,67834269,Melba,Williamson,Feb 8th 84,195
196,82162140,Matt,Kreiger,Nov 12th 05,196
197,25382039,Roberta,Watsica,Sep 11th 84,197
198,33095224,Daniel,Trantow,Apr 30th 06,198
199,50800964,Van,Mayer,May 31st 95,199
200,80207933,Earl,Kertzmann,May 17th 89,200
201,70287123,Madeline,Moore,Jun 7th 89,201
202,63549167,Eduardo,Sipes,Oct 5th 95,202
203,47113382,Willis,Ernser,May 4th 98,203
204,72296645,Enrique,Ledner,Aug 7th 88,204
205,76752615,Elaine,Okuneva,Dec 17th 85,205
206,81973911,Hubert,Paucek,Oct 14th 86,206
207,28870920,Franklin,Rath,Apr 2nd 98,207
208,98133523,Terri,Stiedemann,Dec 27th 97,208
209,60823894,Traci,Walker,Nov 20th 95,209
210,35329560,Lynn,Gislason,Jun 15th 94,210
211,23890890,Jean,Kihn,Oct 1st 93,211
212,83794575,Bethany,Orn,May 23rd 06,212
213,15383185,Kristin,Sporer,Nov 23rd 94,213
214,26963101,Scott,Stroman,Mar 20th 92,214
215,87197559,Casey,Tillman,Jun 26th 96,215
216,72203228,Dolores,Cassin,Dec 23rd 99,216
217,66149501,Archie,O'Hara,Aug 24th 84,217
218,3552791,Peggy,Bruen,Aug 6th 93,218
219,91781035,Judith,Kertzmann,Jun 4th 92,219
220,24240171,Agnes,Rice,Jul 10th 95,220
221,64648350,Winifred,Blanda,Dec 16th 94,221
222,21952466,Sonya,Feil,May 22nd 01,222
223,91342943,Levi,Stiedemann,Dec 28th 87,223
224,62592644,Nina,Renner,Jul 12th 98,224
225,37136834,Carlton,Jakubowski,Mar 6th 94,225
226,32518119,Kurt,Tillman,Aug 16th 92,226
227,42994938,Claude,Spinka,Jul 18th 88,227
228,36569424,Jeffery,Schuster,Sep 25th 02,228
229,75203907,Becky,Altenwerth,Aug 28th 93,229
230,82397842,Violet,Welch,Jun 21st 06,230
231,15966513,Darrell,Dach,Jan 14th 00,231
232,28215382,Gail,Koelpin,Feb 26th 02,232
233,88826513,Lonnie,Hahn,Nov 17th 92,233
234,52304370,Leslie,Borer,Dec 15th 95,234
235,8995479,Neal,Koelpin,May 28th 89,235
236,19847632,Dora,Beier,May 14th 89,236
237,83504842,Gilberto,Hauck,Dec 13th 95,237
238,45198532,Kristen,Friesen-Windler,May 3rd 95,238
239,60020834,Ella,Greenholt,Aug 9th 90,239
240,95596764,Marcos,Kovacek-Huels,Sep 5th 89,240
241,83873935,Daniel,Kautzer,Nov 30th 02,241
242,7348186,Brent,Terry,Feb 18th 04,242
243,52616905,Melanie,Deckow,Jun 27th 92,243
244,22820468,Maureen,Kuhic,Dec 21st 99,244
245,28981801,Christopher,Streich,Sep 1st 95,245
246,4756743,Penny,Schiller,Jul 1st 02,246
247,25922959,Laverne,Kertzmann,Jul 13th 88,247
248,34615779,Jamie,Farrell,Sep 17th 89,248
249,37568898,Ebony,Breitenberg,Feb 7th 99,249
250,98239960,Delbert,Brown,Oct 31st 84,250
251,22794104,Wade,West,Jan 1st 96,251
252,2880655,Jennifer,Feil,Nov 17th 85,252
253,3323860,Francis,Bruen,Sep 1st 01,253
254,79090099,Floyd,Hauck,Sep 27th 01,254
255,99897288,Richard,Heller,Apr 29th 01,255
256,4805959,Tomas,Stracke-Feeney,Oct 10th 06,256
257,65459896,Christy,Thompson,Oct 12th 96,257
258,57651364,Francis,Lang,Jan 3rd 05,258
259,39704917,Vicky,Franecki,Apr 2nd 96,259
260,31259443,Ken,Schamberger-Howell,May 18th 05,260
261,37729220,Robin,Bogisich,Feb 11th 92,261
262,9859640,Bernadette,Sporer,Mar 26th 87,262
263,80865294,Nicholas,Cruickshank,May 24th 89,263
264,7282836,Marie,Schroeder,Sep 12th 96,264
265,91364633,Nettie,Ankunding-D'Amore,Jul 26th 98,265
266,87880282,Mike,Schultz,Sep 24th 03,266
267,43559799,Leona,Kovacek,Dec 23rd 03,267
268,1451778,Alan,Huels-Swift,Jul 22nd 94,268
269,10931081,Alfonso,Will,Dec 16th 00,269
270,63105163,Jaime,Weimann,Apr 18th 84,270
271,95133906,Shelley,Ullrich,Oct 11th 85,271
272,65574864,Philip,Block,Mar 10th 84,272
273,20391484,Wm,Schroeder,Aug 29th 05,273
274,47576425,Christopher,Rohan,Jun 15th 00,274
275,80117553,Regina,Hessel-Price,Aug 3rd 87,275
276,39313257,Alton,Mosciski,Dec 19th 01,276
277,38268300,Irvin,Lesch,Aug 13th 98,277
278,10154789,Santos,Ward,Jul 31st 94,278
279,26303280,Howard,Hand,Dec 9th 89,279
280,11748442,Bertha,McLaughlin,Sep 26th 88,280
281,42535888,Ronald,Balistreri,Aug 4th 90,281
282,91556832,Sidney,Rutherford,Mar 26th 06,282
283,78281939,Carmen,Thompson,Sep 23rd 99,283
284,14260298,Adrian,Kuvalis-Schiller,Dec 19th 06,284
285,75944891,Tricia,Mueller,Jan 8th 03,285
286,9005869,Carla,Schiller,Sep 3rd 06,286
287,48905228,Anna,Powlowski,Jul 5th 89,287
288,10929033,Carolyn,Metz,Oct 25th 02,288
289,36177052,Michelle,Conroy,Dec 5th 94,289
290,73152400,Terry,Lang,Jan 4th 92,290
291,42700704,Lynne,Witting,Nov 9th 92,291
292,34455292,Jessie,Armstrong,Jul 7th 87,292
293,21635809,Curtis,Nader,Feb 9th 99,293
294,64587949,Alexandra,McKenzie,Mar 1st 94,294
295,61633448,Carla,Keeling,Jul 21st 02,295
296,84557196,Bernadette,Fisher,Aug 16th 04,296
297,7452134,Eugene,Hermann,May 16th 01,297
298,51244084,Claude,Lemke,Dec 25th 93,298
299,10866352,Lynn,Flatley,Nov 14th 01,299
300,38410145,Camille,Dickens,Feb 21st 97,300
301,75984717,Ruben,Kulas,Jun 28th 01,301
302,79016245,Jay,Legros-Harber,Sep 9th 02,302
303,52217967,Ivan,Bayer,Jun 9th 06,303
304,39893080,Toni,Green,Apr 8th 92,304
305,71117075,Sheila,Langworth,Sep 17th 00,305
306,73265211,Leon,Wintheiser,Oct 18th 96,306
307,20958049,Kurt,Cremin-Kemmer,Aug 9th 03,307
308,52788056,Jonathan,Swift,Apr 7th 05,308
309,58320811,Sadie,Klein,Jul 15th 97,309
310,68648086,Jermaine,Will,May 23rd 90,310
311,43693956,Marcia,Toy,Nov 25th 87,311
312,56770464,Gustavo,Kreiger,Feb 18th 97,312
313,32527867,Kate,Deckow,Jul 4th 92,313
314,44729717,Melanie,Ferry,Oct 21st 86,314
315,27991901,Irma,Bosco,Jun 21st 06,315
316,64661329,Yvette,Krajcik,Mar 18th 87,316
317,93379297,Michelle,Mertz,Jun 3rd 98,317
318,64432808,Kelly,O'Conner,Jun 4th 96,318
319,95327181,Kendra,Jerde,Sep 8th 94,319
320,38392994,Marc,Ondricka,Nov 3rd 85,320
321,55868900,Laverne,Conn,Nov 23rd 88,321
322,31675010,Tanya,Goyette,May 6th 03,322
323,24921957,Pam,Steuber,Dec 20th 87,323
324,81922942,Christine,Franecki,Oct 4th 99,324
325,48324912,Tyrone,Rice,Mar 30th 87,325
326,34686446,Virginia,Brakus,Mar 23rd 91,326
327,62663577,Tasha,Ziemann,Jan 1st 97,327
328,15426586,Priscilla,Hegmann,Dec 18th 85,328
329,76139122,Billie,Kassulke,Feb 24th 89,329
330,30269725,Alberto,Jakubowski,Jan 20th 89,330
331,59208038,Tonya,Steuber,Nov 9th 89,331
332,52677759,Jody,Marvin,Feb 9th 02,332
333,30215487,Candice,Kautzer,Dec 12th 91,333
334,34544706,Sylvester,Reilly,Apr 12th 93,334
335,93728934,Carole,Bogan,May 4th 04,335
336,94065223,Marco,Deckow,Aug 18th 99,336
337,89156434,Sonia,Lubowitz,Jan 22nd 05,337
338,60244338,Van,Corkery,Nov 2nd 93,338
339,47692739,Denise,Bartoletti,Mar 28th 05,339
340,68012998,Joseph,Morar,Sep 9th 89,340
341,22100809,Julia,Pouros,May 5th 88,341
342,61396163,Dennis,Haag,Nov 5th 85,342
343,39641016,Paula,Hagenes,Mar 21st 93,343
344,41756836,Tami,Kreiger,Mar 27th 04,344
345,67637551,Hilda,Welch,Apr 16th 02,345
346,53140455,Eddie,Weimann,Apr 29th 86,346
347,82354691,Lonnie,Zulauf,Mar 14th 05,347
348,63552065,Wade,Erdman,Dec 4th 02,348
349,87315244,Glenda,Smith,Jun 6th 96,349
350,28226805,Frances,Stracke,Feb 15th 89,350
351,36087345,Cora,Kuvalis,Jan 18th 94,351
352,7254625,Ashley,Bayer,Sep 10th 86,352
353,9584455,Tony,Schultz,May 18th 90,353
354,58839995,Stephanie,Ortiz,Mar 21st 86,354
355,45700834,Christine,Johns,Jul 1st 98,355
356,37864733,Sherri,Koepp,Feb 25th 90,356
357,3704325,Owen,Marvin-Hoppe,Jul 17th 05,357
358,98383478,Andre,Kutch,Oct 7th 96,358
359,54940547,Renee,Turner,Aug 3rd 93,359
360,86023365,Juana,Smith,Sep 3rd 06,360
361,11480115,Sherry,DuBuque,Jan 13th 93,361
362,6578883,Alejandro,Schinner,Oct 27th 84,362
363,55770434,Marc,O'Hara-Kulas,May 2nd 94,363
364,88705706,Myra,Stokes,Aug 4th 94,364
365,98119335,Arnold,Smith,Jan 29th 84,365
366,84701287,Ignacio,Block,May 26th 96,366
367,24553120,Tina,Schamberger,May 11th 87,367
368,21427781,Miguel,Lehner,May 1st 93,368
369,52718872,Wm,Schultz,May 8th 93,369
370,36465857,Jo,Kshlerin,Jul 30th 02,370
371,74207677,Kelli,Okuneva,May 18th 93,371
372,18499085,Winifred,Gulgowski,Jul 15th 90,372
373,74695272,Erica,Walker,Dec 29th 05,373
374,23694218,Dorothy,Barton,Aug 30th 91,374
375,53392155,Peter,Rosenbaum,Mar 14th 88,375
376,44539895,Dale,Labadie,May 2nd 87,376
377,14275569,Van,Dach,Feb 28th 95,377
378,92130276,Guadalupe,Grant,Sep 8th 01,378
379,90835550,Wanda,Hegmann,Dec 8th 86,379
380,47453490,Harvey,Grant,Feb 12th 04,380
381,63896282,Felicia,McGlynn,Oct 22nd 89,381
382,54637260,Cecelia,Hettinger,Oct 26th 94,382
383,24189461,Marty,Rolfson,Jul 11th 05,383
384,38797085,Tabitha,West-Tromp,Jul 13th 90,384
385,37040949,Lora,Harber,Aug 17th 92,385
386,81839795,Sherman,Leannon,Nov 8th 88,386
387,23071986,Josh,Fisher,Sep 9th 95,387
388,3007375,Melanie,Klocko,Jun 25th 05,388
389,49654552,Hazel,Kshlerin,Jun 14th 03,389
390,67126625,Curtis,Torp,May 12th 95,390
391,48348269,Carole,Runolfsson,Mar 8th 96,391
392,92416960,Christine,Blick,Jan 23rd 04,392
393,43519756,Terri,Jenkins,May 20th 01,393
394,21842029,Matthew,Powlowski,Jun 27th 92,394
395,85250570,Shaun,Dare,Oct 27th 94,395
396,81731189,Homer,Thompson,Sep 29th 06,396
397,45532063,Leona,Kulas,May 4th 97,397
398,26977775,Jenna,Lockman,Jun 10th 97,398
399,29664228,Herman,Graham,Sep 10th 95,399
400,47457749,Winston,Rice,Jun 9th 86,400
401,31596996,Gina,O'Reilly,Mar 27th 02,401
402,71249429,Jamie,Thompson,Nov 23rd 87,402
403,25459544,Pearl,Zulauf,Feb 15th 95,403
404,57515805,Bertha,Legros,Jun 2nd 92,404
405,77470093,Judy,Barrows,Apr 12th 03,405
406,11628754,Latoya,Powlowski,Nov 7th 00,406
407,54220214,Bernard,Marquardt,May 28th 95,407
408,6603545,Dawn,Bosco,Jun 8th 06,408
409,22386613,Tina,Block,Sep 16th 92,409
410,21881207,Ruth,Orn,Feb 21st 85,410
411,41203703,Lionel,Brown,May 29th 95,411
412,67638437,Jennie,Dickinson,Oct 10th 85,412
413,88921342,Lester,O'Conner,Sep 21st 89,413
414,36327650,Marian,Lang,Sep 8th 98,414
415,78261578,Marianne,King,Jan 21st 95,415
416,14514109,Willie,Ondricka,Jan 5th 97,416
417,54307021,Lorenzo,Kris,Jun 8th 90,417
418,19609765,Rufus,Marquardt,Mar 1st 98,418
419,32995702,Beth,Johnston,Jul 31st 01,419
420,65851683,Rosemarie,Beahan,Apr 5th 86,420
421,23643147,Sheryl,Murazik,Dec 5th 97,421
422,92347889,Anita,Wehner,Aug 2nd 89,422
423,10495721,Alberto,Farrell,Apr 23rd 97,423
424,77215588,Daryl,Carter,Aug 10th 89,424
425,73769414,Sara,O'Hara,Feb 21st 04,425
426,26092377,Antonio,Bins,Dec 23rd 84,426
427,6855051,Ray,Klein,Mar 22nd 88,427
428,90402446,Margie,Carter,Dec 22nd 87,428
429,67469075,Karla,Durgan,Dec 30th 84,429
430,16015297,Donna,Feil,Oct 2nd 01,430
431,46034227,Peggy,Kutch,Feb 11th 99,431
432,95259647,Ryan,Murphy,Nov 25th 84,432
433,79591987,Bonnie,Haag,Jul 2nd 99,433
434,92303292,Dexter,Frami,Nov 21st 86,434
435,51625177,Simon,Wilderman,Feb 19th 02,435
436,8210157,Celia,Batz,Aug 5th 89,436
437,27415935,Carl,Hilll,Apr 10th 86,437
438,48568446,Annie,Littel,Jan 6th 85,438
439,45528517,Ora,Towne,Dec 9th 86,439
440,83120346,Marsha,Kiehn,Jan 26th 96,440
441,80706412,Martha,Stamm,Jun 13th 00,441
442,35104302,Darin,Bernier,Dec 22nd 00,442
443,49142830,Kelly,Auer,Feb 16th 00,443
444,7361241,Eloise,O'Hara,Apr 21st 90,444
445,67044023,Melody,Lueilwitz,May 8th 84,445
446,6371281,Leah,Stanton,Dec 29th 92,446
447,57807880,Rex,Cartwright,Jun 22nd 85,447
448,49332875,Billie,Kris,Sep 8th 95,448
449,28286358,Gregory,Armstrong,Jul 10th 04,449
450,72973882,Horace,Green,Apr 20th 88,450
451,44742505,Stewart,Flatley,Jan 29th 02,451
452,95598705,Marco,Adams,Feb 1st 86,452
453,71988595,Jimmie,Schuster,Dec 9th 89,453
454,17841887,Diane,Parisian,Jul 5th 96,454
455,36051846,Geoffrey,Weimann,May 12th 92,455
456,10165049,Brittany,Howell,Oct 8th 93,456
457,21301668,Lena,Fadel,Oct 13th 91,457
458,997981,Carroll,Gislason,Feb 10th 00,458
459,16541825,Lorena,Kassulke,Jul 15th 85,459
460,22860193,Jessie,Sanford,May 29th 85,460
461,95710933,Muriel,Collins,Feb 4th 99,461
462,70223590,Myrtle,Deckow,Aug 2nd 92,462
463,90047557,Salvador,Feest,Oct 2nd 87,463
464,7859115,Olivia,Abshire,Jul 15th 95,464
465,18016871,Frankie,Cummings,Sep 30th 95,465
466,88379440,Patty,Herman,Dec 18th 93,466
467,83978249,Scott,Hand,May 24th 99,467
468,86152436,Oscar,Ankunding,Jun 17th 89,468
469,72053217,Molly,O'Keefe,Jun 6th 00,469
470,62775973,Ellen,Rempel,Jul 20th 02,470
471,21183022,Carrie,Prosacco,Aug 18th 06,471
472,31216896,Janie,Zemlak,Oct 8th 87,472
473,84189002,Cedric,Tillman,Aug 5th 94,473
474,33482232,Andres,Steuber,Jun 11th 00,474
475,54196219,Enrique,Kreiger,Sep 24th 92,475
476,95918385,Krystal,Metz,Oct 21st 06,476
477,538667,Joyce,Pollich,Sep 6th 88,477
478,22091390,Timmy,Jacobs,Jun 3rd 05,478
479,98374967,Jodi,Hoppe,Jul 6th 84,479
480,62199452,Gustavo,Boyle,Oct 15th 02,480
481,38189783,Cheryl,Goodwin,May 12th 06,481
482,1738218,Douglas,McLaughlin,Jun 18th 93,482
483,23598619,Maggie,Little,Oct 12th 88,483
484,78707749,Jody,Pacocha,Jan 17th 00,484
485,21660227,Rolando,Blanda,Aug 24th 86,485
486,75529958,Ray,Daugherty,Sep 10th 97,486
487,71136869,Freda,Lubowitz,Jul 12th 05,487
488,55622840,Kristi,Wilderman-Hilll,Oct 24th 94,488
489,93444235,Tyler,Altenwerth,Nov 16th 02,489
490,64784085,Jonathon,Heaney,Feb 25th 00,490
491,20909461,Brent,Bechtelar,Jun 28th 92,491
492,32526194,Florence,Pollich,Jun 19th 91,492
493,23634534,Jacob,Dach,Apr 28th 84,493
494,79160190,Elaine,Trantow,Jul 1st 00,494
495,75682203,Natalie,Kutch,Jun 10th 93,495
496,99321577,Sandra,Jenkins,Apr 24th 84,496
497,83583348,Jackie,Lindgren,Oct 23rd 88,497
498,62802882,Elvira,Lowe,Oct 1st 86,498
499,66399039,Gayle,Watsica,Sep 26th 00,499
500,53425325,Erica,Hackett,Feb 15th 90,500
501,10727792,Garrett,Padberg,Oct 24th 95,501
502,10974292,Randy,Homenick-Terry,Nov 15th 99,502
503,32640657,Alfonso,Carter,Jul 18th 02,503
504,99431520,Lewis,Stracke,Nov 30th 93,504
505,33481310,Rachael,Purdy,Nov 25th 06,505
506,56512119,Kelley,Fisher,May 18th 92,506
507,78209883,Francis,Ritchie,Nov 19th 99,507
508,29869693,Herbert,Olson,Mar 5th 88,508
509,13143008,Sharon,Kohler,Sep 9th 02,509
510,72658587,Hope,Bogisich,Sep 22nd 01,510
511,72939348,Richard,Lang,Mar 8th 88,511
512,85801766,Tracy,Sanford,Feb 18th 88,512
513,68981654,Joshua,Upton,Jul 9th 93,513
514,25451326,Marco,Schowalter,Jun 21st 95,514
515,13630603,Peter,Herman,Dec 25th 84,515
516,83998969,Justin,Gleason,May 19th 93,516
517,21738272,Milton,Morar,Oct 10th 03,517
